ID,Name,Address,Latitude,Longitude
69,青森三菱自動車販売 五所川原店,青森県五所川原市姥萢船橋247-1,40.787051,140.458409
70,青森三菱自動車販売 十和田店,青森県十和田市三本木北平195,40.633075,141.204068
71,青森三菱自動車販売 むつ店,青森県むつ市大平町3-3,41.28444,141.174088
72,日産プリンス青森販売 類家店,青森県八戸市類家4-10-7,40.507686,141.510555
73,日産サティオ弘前 弘前日産 五所川原・柏店,青森県つがる市柏下古川絹森140,40.802106,140.424168
74,岩手三菱自動車販売 もりおか仙北店,岩手県盛岡市南仙北1-24-8,39.675568,141.155315
75,岩手三菱自動車販売 きたかみ村崎野店,岩手県北上市村崎野第19地割299-2,39.339788,141.108351
76,岩手三菱自動車販売 いちのせきインター店,岩手県一関市赤荻堺100-1,38.938084,141.108696
77,岩手三菱自動車販売 盛岡津志田店,岩手県盛岡市津志田町1-5-43,39.667389,141.156825
78,岩手日産自動車 平泉店,岩手県西磐井郡平泉町平泉高田88-2,38.969954,141.118471
79,岩手日産自動車 二戸店,岩手県二戸市堀野馬場65-3,40.296724,141.300713
80,日産チェリー岩手販売 宮古店,岩手県宮古市長町2-1-39,39.634821,141.924965
81,日産プリンス岩手販売 久慈日産,岩手県久慈市長内町34地割5,40.188866,141.786918
82,日産プリンス岩手販売 本店,岩手県盛岡市津志田町1-1-20,39.67085,141.155912
83,岩手日産自動車 北上店,岩手県北上市鬼柳町荒高180,39.272909,141.105613
84,日産チェリー岩手販売 盛岡北店,岩手県盛岡市上堂4-8-1,39.736251,141.125004
85,日産プリンス岩手販売 水沢店,岩手県奥州市水沢太日通り1-7-10,39.133732,141.149973
86,日産プリンス岩手販売 釜石店,岩手県釜石市野田町2-2-32,39.257886,141.823962
87,盛岡日産モーター 本店,岩手県紫波郡矢巾町高田第14地割6-2,39.629825,141.174235
88,岩手三菱自動車販売 もりおか厨川店,岩手県盛岡市厨川3-12-13,39.74863,141.132373
89,岩手三菱自動車販売 花巻店,岩手県花巻市上小舟渡116-1,39.394396,141.123592
90,岩手三菱自動車販売 くじ長内店,岩手県久慈市長内町34-15-1,40.189656,141.78713
91,岩手三菱自動車販売 せんまや店,岩手県一関市千厩町千厩古ケ口77-3,38.913091,141.328705
92,岩手三菱自動車販売 二戸バイパス店,岩手県二戸市米沢荒谷28-1,40.282777,141.293071
93,岩手三菱自動車販売 大船渡店,岩手県大船渡市大船渡町上平15-10,39.048093,141.720993
94,小井口自動車工業,岩手県遠野市鶯崎町1-10,39.331745,141.545629
95,岩手三菱自動車販売 かまいし野田店,岩手県釜石市野田町1-10-33,39.25896352,141.8271491
96,盛岡日産モーター 花巻店,岩手県花巻市西宮野目13-73,39.41177,141.125866
97,盛岡日産モーター 北上店,岩手県北上市村崎野14-465,39.31681,141.112243
98,日産プリンス岩手販売 川口店,岩手県岩手郡岩手町川口第51地割52-3,39.937989,141.207222
99,岩手日産自動車 日産ギャラリー,岩手県盛岡市大沢川原1-4-20,39.699926,141.146594
100,日産プリンス岩手販売 大船渡店,岩手県大船渡市立根町前谷地5-10,39.117653,141.719756
